feature,mean_abs_shap,mean_shap,std_shap,native_importance,rank
prev_PREV_TOTAL_PAYMENT_mean_1000D,0.004661392867190882,-0.0005478589403621924,0.006202549280261121,0.13814838031747745,128
prev_NAME_CONTRACT_STATUS_Approved_prop,0.00442936806102811,0.00010995338658407636,0.0072986840404173714,0.18890507754778904,129
bureau_STATUS_0_prop_mean,0.004425547844602299,0.00046425260405497386,0.01328105834933354,0.16104794622608298,130
inst_LAST_10_DBD_mean,0.004359630470647504,-0.001936939784016068,0.0055311552656530484,0.17238102553084797,131
prev_APPROVED_APP_CREDIT_GAP_mean,0.004332324472214715,-0.00014773304943552852,0.00601943006740358,0.08434421586304487,132
inst_DBD_mean_1000D,0.004270371152958988,-0.002048357407607632,0.005162872882272545,0.12277446568454832,133
pos_CNT_INSTALMENT_mean,0.0041929295157002245,-4.453062694322266e-05,0.0068001690818841574,0.13039883213649453,134
AMT_INCOME_TOTAL,0.004104558997711869,-0.0002027233340229341,0.007756699238966808,0.2804857169185702,135
inst_DPD_mean_trend_60D,0.0038863976657954043,-0.0008016087725811897,0.015146052065066022,0.19320119853322906,136
BASEMENTAREA_AVG,0.0037174860177288183,-0.00025442235985818,0.006718849716232677,0.181120595122065,137
inst_DBD_mean_365D,0.003663163838912289,0.00038437764384112596,0.005850020172206037,0.145404644158747,138
prev_REFUSED_PREV_SIMPLE_INTEREST_mean,0.003488584679055019,-0.0005053306218560081,0.007788573958301296,0.11203976653582592,139
EXT_SOURCES_RANGE,0.003351452485489017,-0.0008875259223148088,0.005265347034462016,0.1675064239940505,140
prev_APP_CREDIT_GAP_mean_180D,0.0033484292623674494,3.039105917952657e-05,0.009163429813914768,0.16909739146839442,141
prev_LAST_5_AMT_CREDIT_mean,0.003288852682183347,-0.0007948603779732923,0.004979125331640539,0.1171172614021038,142
inst_PAYMENT_PERC_mean_trend_365D,0.003130091461480756,0.00023467515452989032,0.004564423235032206,0.12148130351672648,143
prev_APPROVED_PREV_TOTAL_PAYMENT_mean,0.0030193755082194556,-0.0009108963158994621,0.004797622583508848,0.06963898481561982,144
inst_DBD_mean,0.0027965543916149875,-0.0007658030424585834,0.004206925418653981,0.09245828393047166,145
prev_LAST_1_PREV_SIMPLE_INTEREST_mean,0.002704373690616844,-0.0007561994921550382,0.00462077589739768,0.11355846900828805,146
bureau_STATUS_X_prop_mean,0.00268073778990382,-2.6445624634392335e-05,0.005274354029839343,0.09803845133434869,147
bureau_AMT_CREDIT_SUM_OVERDUE_mean,0.0022081220576872173,-0.0011329902338840306,0.011111917840440622,0.16814663441602432,148
prev_PREV_TOTAL_PAYMENT_mean,0.0014770652333585398,0.00010181383735017422,0.0027222853330625347,0.05526031798512758,149
inst_PAYMENT_PERC_mean_60D,0.0012590317283365997,-0.0002726277703190934,0.0030536592198087873,0.061983661495881505,150
